STATION,FISHSET_ID,SET_NO,SDAYTIME,P2DAYTIME,P3DAYTIME,EDAYTIME,SOAKMINP3P1,SOAKMINP3P2,P1LAT,P2LAT,P3LAT,P4LAT,P1LONG,P2LONG,P3LONG,P4LONG,DURATION,YEAR,SDEPTH,P2DEPTH,P3DEPTH,EDEPTH,TRIP_ID,SETCD_ID,STRATUM_ID,NAFAREA_ID,NUM_HOOK_HAUL,GEAR_ID,HAULCCD_ID,LENLLKM,GEAR_LEN_M,SPECSCD_ID,MAINLINE_DIAM,MAINLINE_LEN,BAIT_TYPE,GANGION_LENGTH,HOOKSPACINGM,MAINLINE_TYPE,MAINLINE_MAT,MAINLINE_WTAVG_KG,BAIT_AVG_WT,MILWARD,GEARCD_ID,HOOKCD_ID,HOOKSIZE,CATCH_ID,SPECCD_ID,EST_NUM_CAUGHT,EST_COMBINED_WT,TRIPCD_ID,TRIP,VESS_ID,VESSEL,CFV,ASSIGNED_STATION,ASSIGNED_STRATUM_ID,avg_weight,SLATITUDE,SLONGITUDE,ELATITUDE,ELONGITUDE,NAFDIV,P1TIME,P2TIME,P3TIME,P4TIME,SURVEY_AREA,SDAYTIME_UTC,P2DAYTIME_UTC,P3DAYTIME_UTC,EDAYTIME_UTC,P1TIME_UTC,P2TIME_UTC,P3TIME_UTC,P4TIME_UTC,MAINLINE_WTAVG_ADDED,lat.DecDeg_Assigned,lon.DecDeg_Assigned,STRATA_Assigned,Coordinator,VESSEL_Completed,Coordinator_Completed,dist_from_station
108,100396199,6,2024-06-03 07:34:00,2024-06-03 07:57:00,2024-06-03 16:01:00,2024-06-03 17:30:00,507,484,46.14283,46.177,46.17633,0,-58.68933,-58.6665,-58.66833,0,596,2024,298,335,333,0,100059359,5,H34,4VN,1000,100054316,1,NA,NA,30,9.3,NA,HERRING,0.762,4.6,1,2,1,165,NA,51,141,15,102348852,30,3,54,7057,J24-0302,25939,LADY TRISH,108118,108,H34,18,46.14283,-58.68933,0,0,4V,734,757,1601,1730,3,2024-06-03 10:34:00,2024-06-03 10:57:00,2024-06-03 19:01:00,2024-06-03 20:30:00,1034,1057,1901,2030,YES,46.16302,-58.67661,H34,Nova Scotia,Lady Trish,Nova Scotia,0.054
109,100396211,18,2024-06-07 04:10:00,2024-06-07 04:36:00,2024-06-07 11:33:00,2024-06-07 13:46:00,443,417,46.04867,46.01767,46.0525,0,-57.988,-58.0195,-57.9915,0,576,2024,492,459,470,0,100059359,5,H34,4VN,1000,100054320,1,NA,NA,30,9.3,NA,HERRING,0.762,4.6,1,2,1,167,NA,51,141,15,102348922,30,10,202,7057,J24-0302,25939,LADY TRISH,108118,109,H34,20.2,46.04867,-57.988,0,0,4V,410,436,1133,1346,3,2024-06-07 07:10:00,2024-06-07 07:36:00,2024-06-07 14:33:00,2024-06-07 16:46:00,710,736,1433,1646,YES,46.03488,-58.00397,H34,Nova Scotia,Lady Trish,Nova Scotia,0.123
11,100395592,4,2024-07-11 05:48:00,2024-07-11 06:11:00,2024-07-11 14:01:00,2024-07-11 16:53:00,493,470,43.6425,43.65483,43.65467,43.6425,-66.7595,-66.70367,-66.70567,-66.75883,665,2024,113,126,130,113,100059329,5,H11,4XQ,1000,100054222,1,NA,NA,30,8.6,1.8,HERRING,0.81,5.3,2,1,NA,132,NA,51,141,15,102342992,30,3,37,7057,J24-0313,25786,LADY RHYSSE,108599,11,H11,12.3333333333333,43.6425,-66.7595,43.6425,-66.75883,4X,548,611,1401,1653,1,2024-07-11 08:48:00,2024-07-11 09:11:00,2024-07-11 17:01:00,2024-07-11 19:53:00,848,911,1701,1953,NO,43.65259,-66.72714,H11,Nova Scotia,Lady Rhysse,Nova Scotia,0.312
110,100396172,4,2024-07-15 07:19:00,2024-07-15 07:41:00,2024-07-15 14:55:00,2024-07-15 17:35:00,456,434,46.86333,46.825,46.86467,46.827,-59.77833,-59.77333,-59.782,-59.77517,616,2024,278,231,278,231,100059357,5,H34,4VN,1000,100054306,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,141,NA,51,141,15,102348494,30,2,24,7057,J24-0312A,23323,ADELE EVANGELINE,107266,110,H34,12,46.86333,-59.77833,46.827,-59.77517,4V,719,741,1455,1735,3,2024-07-15 10:19:00,2024-07-15 10:41:00,2024-07-15 17:55:00,2024-07-15 20:35:00,1019,1041,1755,2035,YES,46.84727,-59.77692,H34,Nova Scotia,Adele Evangeline,Nova Scotia,0.052
111,100396218,25,2024-06-09 04:05:00,2024-06-09 04:29:00,2024-06-09 12:17:00,2024-06-09 14:29:00,492,468,45.56017,45.553,45.557,0,-57.498,-57.5505,-57.49633,0,624,2024,466,468,466,0,100059359,5,H34,4VS,1000,100054322,1,NA,NA,30,9.3,NA,HERRING,0.762,4.6,1,2,1,164,NA,51,141,15,102348998,30,10,189,7057,J24-0302,25939,LADY TRISH,108118,111,H34,18.9,45.56017,-57.498,0,0,4V,405,429,1217,1429,3,2024-06-09 07:05:00,2024-06-09 07:29:00,2024-06-09 15:17:00,2024-06-09 17:29:00,705,729,1517,1729,YES,45.55676,-57.52563,H34,Nova Scotia,Lady Trish,Nova Scotia,0.039
112,100396183,1,2024-07-21 06:48:00,2024-07-21 07:09:00,2024-07-21 13:00:00,2024-07-21 15:32:00,372,351,45.125,45.125,45.12583,45.12883,-57.09333,-57.03667,-57.09867,-57.04717,524,2024,446,444,446,444,100059358,5,H34,4VS,1000,100054310,1,4.9,4900,30,9.59,NA,HERRING,0.872,4.85,1,2,0.585,152,NA,51,141,15,102348577,30,18,406,7057,J24-0312B,23323,ADELE EVANGELINE,107266,112,H34,22.5555555555556,45.125,-57.09333,45.12883,-57.04717,4V,648,709,1300,1532,3,2024-07-21 09:48:00,2024-07-21 10:09:00,2024-07-21 16:00:00,2024-07-21 18:32:00,948,1009,1600,1832,YES,45.12602,-57.07118,H34,Nova Scotia,Adele Evangeline,Nova Scotia,0.113
113,100396177,9,2024-07-17 04:32:00,2024-07-17 04:57:00,2024-07-17 12:18:00,2024-07-17 14:22:00,466,441,47.10333,47.14167,47.10217,47.14383,-59.41833,-59.41833,-59.415,-59.4195,590,2024,467,472,467,470,100059357,5,H34,4VN,1000,100054308,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,141,NA,51,141,15,102348540,30,5,54,7057,J24-0312A,23323,ADELE EVANGELINE,107266,113,H34,10.8,47.10333,-59.41833,47.14383,-59.4195,4V,432,457,1218,1422,3,2024-07-17 07:32:00,2024-07-17 07:57:00,2024-07-17 15:18:00,2024-07-17 17:22:00,732,757,1518,1722,YES,47.12052,-59.41845,H34,Nova Scotia,Adele Evangeline,Nova Scotia,0.009
114,100396173,5,2024-07-16 05:08:00,2024-07-16 05:31:00,2024-07-16 11:38:00,2024-07-16 14:24:00,390,367,47.28333,47.30667,47.28117,47.3035,-59.92,-59.96333,-59.91917,-59.9595,556,2024,466,468,466,468,100059357,5,H34,4VN,1000,100054307,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,145,NA,51,141,15,102348507,30,2,22,7057,J24-0312A,23323,ADELE EVANGELINE,107266,114,H34,11,47.28333,-59.92,47.3035,-59.9595,4V,508,531,1138,1424,3,2024-07-16 08:08:00,2024-07-16 08:31:00,2024-07-16 14:38:00,2024-07-16 17:24:00,808,831,1438,1724,YES,47.29462,-59.93983,H34,Nova Scotia,Adele Evangeline,Nova Scotia,0.053
115,100396200,7,2024-06-04 04:01:00,2024-06-04 04:24:00,2024-06-04 10:02:00,2024-06-04 12:18:00,361,338,46.6715,46.63917,46.67267,0,-58.74333,-58.71367,-58.747,0,497,2024,428,420,430,0,100059359,5,H34,4VN,1000,100054317,1,NA,NA,30,9.3,NA,HERRING,0.762,4.6,1,2,1,158,NA,51,141,15,102348866,30,5,103,7057,J24-0302,25939,LADY TRISH,108118,115,H34,20.6,46.6715,-58.74333,0,0,4V,401,424,1002,1218,3,2024-06-04 07:01:00,2024-06-04 07:24:00,2024-06-04 13:02:00,2024-06-04 15:18:00,701,724,1302,1518,YES,46.65572,-58.72814,H34,Nova Scotia,Lady Trish,Nova Scotia,0.046
116,100396176,8,2024-07-16 08:04:00,2024-07-16 08:41:00,2024-07-16 15:40:00,2024-07-16 17:40:00,456,419,47.30333,47.30833,47.30933,47.30467,-60.19667,-60.135,-60.138,-60.19583,576,2024,275,333,326,275,100059357,5,H34,4VN,1000,100054307,1,4.9,4900,30,9.5,NA,HERRING,0.872,4.85,1,2,0.585,145,NA,51,141,15,102348521,30,1,2,7057,J24-0312A,23323,ADELE EVANGELINE,107266,116,H34,2,47.30333,-60.19667,47.30467,-60.19583,4V,804,841,1540,1740,3,2024-07-16 11:04:00,2024-07-16 11:41:00,2024-07-16 18:40:00,2024-07-16 20:40:00,1104,1141,1840,2040,YES,47.30618,-60.17414,H34,Nova Scotia,Adele Evangeline,Nova Scotia,0.112
117,100396061,5,2024-06-24 04:06:00,2024-06-24 04:37:00,2024-06-24 10:19:00,2024-06-24 12:16:00,373,342,45.30783,45.31333,45.30883,45.30767,-55.0555,-54.98283,-54.98367,-55.0545,490,2024,135,117,115,136,100059353,5,H41,3PS,1000,100054273,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,168,NA,51,141,15,102347558,30,4,29,7057,J24-0308A,23860,RYAN & GIRLS,107553,117,H41,7.25,45.30783,-55.0555,45.30767,-55.0545,3P,406,437,1019,1216,4,2024-06-24 07:06:00,2024-06-24 07:37:00,2024-06-24 13:19:00,2024-06-24 15:16:00,706,737,1319,1516,YES,45.30808,-55.01964,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.272
118,100396069,13,2024-06-29 04:01:00,2024-06-29 04:31:00,2024-06-29 11:56:00,2024-06-29 13:59:00,475,445,46.2,46.17617,46.17667,46.19967,-56.8635,-56.79483,-56.79667,-56.864,598,2024,97,60,59,98,100059353,5,H41,3PS,1000,100054278,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,169,NA,51,141,15,102348067,30,8,138,7057,J24-0308A,23860,RYAN & GIRLS,107553,118,H41,17.25,46.2,-56.8635,46.19967,-56.864,3P,401,431,1156,1359,4,2024-06-29 07:01:00,2024-06-29 07:31:00,2024-06-29 14:56:00,2024-06-29 16:59:00,701,731,1456,1659,YES,46.18744,-56.82778,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.017
119,100395869,1,2024-07-19 12:25:00,2024-07-19 12:40:00,2024-07-19 18:40:00,2024-07-19 20:45:00,375,360,47.46,47.4845,47.4835,47.46333,-56.21033,-56.25183,-56.23417,-56.20267,500,2024,59,59,82,62,100059344,5,H41,3PS,1000,100054246,1,5.3,5300,30,8.9,1.5,HERRING,0.81,5.3,1,2,1.5,139,NA,51,141,15,NA,NA,0,0,7057,S24-0703,26001,ALICE T,137827,119,H41,NA,47.46,-56.21033,47.46333,-56.20267,3P,1225,1240,1840,2045,4,2024-07-19 15:25:00,2024-07-19 15:40:00,2024-07-19 21:40:00,2024-07-19 23:45:00,1525,1540,2140,2345,YES,47.47546451,-56.22269426,H41,Newfoundland,,Newfoundland,0.685
12,100395358,1,2024-07-28 04:10:00,2024-07-28 04:31:00,2024-07-28 10:20:00,2024-07-28 12:40:00,370,349,44.001,44.05167,44.049,44.0005,-66.50283,-66.49467,-66.49533,-66.50217,510,2024,88,96,85,90,100059318,5,H11,4XR,1000,100054197,1,5.5,5500,30,7.1,NA,HERRING,NA,NA,2,1,NA,NA,NA,51,141,15,102340606,30,1,10,7057,J24-0316,14820,JESSA & AUSTIN,106068,12,H11,10,44.001,-66.50283,44.0005,-66.50217,4X,410,431,1020,1240,1,2024-07-28 07:10:00,2024-07-28 07:31:00,2024-07-28 13:20:00,2024-07-28 15:40:00,710,731,1320,1540,NO,44.0175,-66.4993,H11,Nova Scotia,Jessa & Austin,Nova Scotia,0.07
120,100396068,12,2024-06-28 04:02:00,2024-06-28 04:36:00,2024-06-28 10:36:00,2024-06-28 12:22:00,394,360,45.96183,45.962,45.9625,45.96183,-55.6595,-55.58333,-55.58433,-55.659,500,2024,72,73,72,72,100059353,5,H41,3PS,1000,100054277,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,140,NA,51,141,15,102348034,30,1,17,7057,J24-0308A,23860,RYAN & GIRLS,107553,120,H41,17,45.96183,-55.6595,45.96183,-55.659,3P,402,436,1036,1222,4,2024-06-28 07:02:00,2024-06-28 07:36:00,2024-06-28 13:36:00,2024-06-28 15:22:00,702,736,1336,1522,YES,45.96206,-55.62258,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.016
121,100396064,8,2024-06-25 06:43:00,2024-06-25 07:17:00,2024-06-25 15:37:00,2024-06-25 17:34:00,534,500,45.28533,45.28533,45.28483,45.28567,-55.55633,-55.6355,-55.55717,-55.6345,651,2024,85,72,85,72,100059353,5,H41,3PS,1000,100054274,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,133,NA,51,141,15,NA,NA,0,0,7057,J24-0308A,23860,RYAN & GIRLS,107553,121,H41,NA,45.28533,-55.55633,45.28567,-55.6345,3P,643,717,1537,1734,4,2024-06-25 09:43:00,2024-06-25 10:17:00,2024-06-25 18:37:00,2024-06-25 20:34:00,943,1017,1837,2034,YES,45.28512,-55.59292,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.024
122,100396057,1,2024-06-22 04:05:00,2024-06-22 04:35:00,2024-06-22 10:54:00,2024-06-22 12:56:00,409,379,45.3135,45.31367,45.31317,45.31267,-54.804,-54.737,-54.73817,-54.80317,531,2024,94,93,93,94,100059353,5,H41,3PS,1000,100054271,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,143,NA,51,141,15,NA,NA,0,0,7057,J24-0308A,23860,RYAN & GIRLS,107553,122,H41,NA,45.3135,-54.804,45.31267,-54.80317,3P,405,435,1054,1256,4,2024-06-22 07:05:00,2024-06-22 07:35:00,2024-06-22 13:54:00,2024-06-22 15:56:00,705,735,1354,1556,YES,45.31383,-54.76791,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.026
123,100395331,3,2024-07-04 04:04:00,2024-07-04 04:35:00,2024-07-04 10:13:00,2024-07-04 12:18:00,369,338,47.0505,47.10317,47.05117,47.1015,-57.73333,-57.73267,-57.73317,-57.733,494,2024,113,92,114,91,100059315,5,H41,3PS,1000,100054187,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,153,NA,51,141,15,102340207,30,4,87,7057,J24-0308B,23860,RYAN & GIRLS,107553,123,H41,21.75,47.0505,-57.73333,47.1015,-57.733,3P,404,435,1013,1218,4,2024-07-04 07:04:00,2024-07-04 07:35:00,2024-07-04 13:13:00,2024-07-04 15:18:00,704,735,1313,1518,YES,47.07615,-57.73299,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.001
124,100396063,7,2024-06-25 04:06:00,2024-06-25 04:37:00,2024-06-25 11:04:00,2024-06-25 12:58:00,418,387,45.02567,45.07467,45.074,45.02533,-55.5695,-55.569,-55.56883,-55.57017,532,2024,142,107,109,142,100059353,5,H41,3PS,1000,100054274,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,133,NA,51,141,15,102347781,30,4,46,7057,J24-0308A,23860,RYAN & GIRLS,107553,124,H41,11.5,45.02567,-55.5695,45.02533,-55.57017,3P,406,437,1104,1258,4,2024-06-25 07:06:00,2024-06-25 07:37:00,2024-06-25 14:04:00,2024-06-25 15:58:00,706,737,1404,1558,YES,45.05227,-55.56945,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.017
125,100396062,6,2024-06-24 05:21:00,2024-06-24 05:54:00,2024-06-24 13:45:00,2024-06-24 15:39:00,504,471,45.388,45.389,45.38783,45.38917,-54.96867,-55.0485,-54.96917,-55.04683,618,2024,97,131,97,134,100059353,5,H41,3PS,1000,100054273,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,168,NA,51,141,15,102347631,30,2,22,7057,J24-0308A,23860,RYAN & GIRLS,107553,125,H41,11,45.388,-54.96867,45.38917,-55.04683,3P,521,554,1345,1539,4,2024-06-24 08:21:00,2024-06-24 08:54:00,2024-06-24 16:45:00,2024-06-24 18:39:00,821,854,1645,1839,YES,45.38869,-55.00319,H41,Nova Scotia,Ryan and Girls,Nova Scotia,0.028
126,100396058,2,2024-06-22 06:14:00,2024-06-22 06:44:00,2024-06-22 15:24:00,2024-06-22 17:38:00,550,520,45.14917,45.1015,45.10233,45.149,-54.5945,-54.56017,-54.56283,-54.59533,684,2024,132,188,185,132,100059353,5,H42,3PS,1000,100054271,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,143,NA,51,141,15,102347315,30,4,76,7057,J24-0308A,23860,RYAN & GIRLS,107553,126,H42,19,45.14917,-54.5945,45.149,-54.59533,3P,614,644,1524,1738,4,2024-06-22 09:14:00,2024-06-22 09:44:00,2024-06-22 18:24:00,2024-06-22 20:38:00,914,944,1824,2038,YES,45.12805,-54.57958,H42,Nova Scotia,Ryan and Girls,Nova Scotia,0.021
127,100396065,9,2024-06-26 04:03:00,2024-06-26 04:33:00,2024-06-26 10:29:00,2024-06-26 12:32:00,386,356,44.97417,45.02033,45.01883,44.975,-55.53983,-55.56867,-55.5685,-55.53867,509,2024,340,150,156,340,100059353,5,H42,3PS,1000,100054275,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,174,NA,51,141,15,102347972,30,6,64,7057,J24-0308A,23860,RYAN & GIRLS,107553,127,H42,10.6666666666667,44.97417,-55.53983,44.975,-55.53867,3P,403,433,1029,1232,4,2024-06-26 07:03:00,2024-06-26 07:33:00,2024-06-26 13:29:00,2024-06-26 15:32:00,703,733,1329,1532,YES,45.00155,-55.55653,H42,Nova Scotia,Ryan and Girls,Nova Scotia,0.029
128,100396059,3,2024-06-23 04:03:00,2024-06-23 04:38:00,2024-06-23 10:10:00,2024-06-23 12:09:00,367,332,45.186,45.18433,45.1855,45.18467,-54.91983,-54.9975,-54.921,-54.99667,486,2024,99,132,100,133,100059353,5,H42,3PS,1000,100054272,1,6,6000,30,9.1,1.06,HERRING,0.84,5.49,1,2,0.68,162,NA,51,141,15,102347429,30,3,43,7057,J24-0308A,23860,RYAN & GIRLS,107553,128,H42,14.3333333333333,45.186,-54.91983,45.18467,-54.99667,3P,403,438,1010,1209,4,2024-06-23 07:03:00,2024-06-23 07:38:00,2024-06-23 13:10:00,2024-06-23 15:09:00,703,738,1310,1509,YES,45.18564,-54.95367,H42,Nova Scotia,Ryan and Girls,Nova Scotia,0.04
